,B01003_001E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B01001I_001E,B09020_001E,B15003_002E,B15003_017E,B15003_022E,B15003_023E,B15003_025E,B17001_002E,B27001_002E,B27001_030E,NAME,state,place
899,133,3,0,3,2,5,0,7,7,1,0,0,0,4,0,129,0,0,0,0,28,1,43,0,0,0,34,67,66,"Tanacross CDP, Alaska",02,75050
900,10512,131,131,91,46,27,30,90,61,88,85,6,13,8763,32,453,54,9,157,786,799,38,1607,835,287,47,789,5499,4963,"Tanaina CDP, Alaska",02,75077
901,243,5,6,5,0,3,1,4,4,2,2,6,4,29,1,203,0,0,0,3,42,2,74,16,1,0,19,134,99,"Tanana city, Alaska",02,75160
902,121,3,2,0,3,0,0,4,0,3,0,0,0,2,0,105,0,0,0,0,15,0,39,2,0,0,0,70,51,"Tatitlek CDP, Alaska",02,75380
903,300,0,1,0,4,0,3,5,0,0,0,0,0,150,0,136,0,0,0,0,13,0,68,17,5,0,41,157,143,"Tazlina CDP, Alaska",02,75480
904,184,2,0,1,0,0,0,4,0,0,0,4,0,0,0,170,0,0,0,0,11,0,50,0,0,0,69,103,81,"Teller city, Alaska",02,75930
905,147,12,20,6,0,0,8,5,6,0,0,0,0,147,0,0,0,0,0,3,57,0,43,28,8,0,3,70,77,"Tenakee Springs city, Alaska",02,76260
906,173,0,4,2,0,0,0,0,2,0,0,0,0,37,0,134,0,0,0,0,8,0,35,2,2,0,65,102,71,"Tetlin CDP, Alaska",02,76590
907,571,9,17,47,6,3,0,9,13,10,0,5,7,538,0,3,0,3,0,16,126,0,89,66,27,4,44,302,269,"Thorne Bay city, Alaska",02,77140
908,749,5,4,6,4,0,2,7,4,0,6,0,0,40,3,664,9,0,0,0,38,5,139,16,7,0,229,408,341,"Togiak city, Alaska",02,77690
909,1197,40,5,39,5,10,0,10,13,20,6,0,5,854,0,185,30,0,0,0,153,0,195,53,114,0,260,541,653,"Tok CDP, Alaska",02,77800
910,527,4,4,12,4,2,0,2,6,11,2,5,0,16,0,488,0,0,2,2,52,5,116,17,8,5,112,280,245,"Toksook Bay city, Alaska",02,78240
911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tolsona CDP, Alaska",02,78297
