State,City,PlaceFIPS,ACCESS2,ARTHRITIS,BINGE,BPHIGH,BPMED,CANCER,CASTHMA,CHD,CHECKUP,CHOLSCREEN,COLON_SCREEN,COPD,COREM,COREW,CSMOKING,DENTAL,DIABETES,HIGHCHOL,KIDNEY,LPA,MAMMOUSE,MHLTH,OBESITY,PAPTEST,PHLTH,SLEEP,STROKE,TEETHLOST
NE,Lincoln,3128000,13.5,22.5,21.8,26.8,58.7,5.8,8.4,5.1,60.8,71.1,63.4,5.5,39.3,32.7,18.6,68.3,7.7,32.8,2.1,18.8,75.8,9.1,27.8,78.7,9.0,30.7,2.5,10.2
NE,Omaha,3137000,16.3,23.6,20.9,29.2,61.0,5.7,8.3,5.6,64.8,71.6,62.6,5.7,37.4,35.6,20.4,64.1,9.4,31.4,2.4,22.3,76.4,9.5,30.6,80.9,10.2,32.8,2.9,13.8
NV,Henderson,3231900,14.2,21.6,17.6,27.4,53.7,6.2,8.6,5.6,64.2,72.8,63.2,6.2,34.9,30.9,17.7,65.1,8.5,32.1,3.0,20.5,74.0,10.6,26.1,81.3,10.5,36.2,2.5,13.4
NV,Las Vegas,3240000,22.6,23.1,15.9,29.9,55.5,5.9,9.3,6.5,63.4,70.7,57.5,7.4,32.1,27.6,20.4,56.1,10.8,32.9,3.4,26.2,71.3,12.4,30.3,78.0,13.5,38.9,3.1,18.2
NV,North Las Vegas,3251800,25.5,23.8,14.9,31.5,56.5,5.6,9.7,6.8,64.0,70.6,55.3,7.9,28.9,24.5,21.4,52.0,12.5,32.9,3.6,29.0,71.1,13.2,32.4,77.0,14.8,41.0,3.6,22.7
NV,Reno,3260600,19.6,22.7,19.0,28.1,52.0,6.1,9.3,6.1,60.2,72.3,59.9,7.3,31.9,28.0,19.3,60.4,8.8,33.6,3.0,20.3,70.6,12.3,22.8,76.9,13.0,33.7,2.9,16.3
NV,Sparks,3268400,19.4,22.7,19.4,27.4,51.6,6.0,9.3,6.0,60.4,73.0,60.3,7.2,31.1,27.2,19.3,60.8,8.7,33.2,3.0,20.5,70.6,12.2,22.6,77.8,12.8,33.9,2.8,17.3
NH,Manchester,3345140,17.6,25.6,16.4,28.4,59.3,6.4,11.1,5.8,68.7,76.7,65.7,7.1,32.2,32.2,19.8,63.5,9.0,31.2,2.3,21.6,79.7,12.0,31.2,82.0,11.8,36.5,2.7,16.1
NH,Nashua,3350260,16.1,24.4,16.5,27.7,58.8,6.4,10.5,5.4,69.2,77.0,67.8,6.3,33.4,33.7,17.6,66.7,8.5,31.0,2.2,19.8,81.0,11.0,29.4,83.3,10.7,35.5,2.5,14.1
NJ,Camden,3410000,33.9,27.9,12.1,42.2,64.8,4.8,11.7,8.2,73.7,71.1,49.2,9.2,21.4,16.3,24.9,45.0,17.8,36.8,3.6,41.6,73.4,17.2,42.2,74.8,20.1,50.8,5.2,30.0
